"","Sex","Race","Age","CRF","BMI","Risk","Range_upper","Range_lower"
"1122","Female","Black",70,1,45,4.2,3,5.4
"1123","Female","Black",70,2,45,6,3.7,8.6
"1124","Female","Black",70,3,45,8.7,5.3,13
"1125","Female","Black",70,4,45,13,8.6,19
"1126","Female","Black",70,5,45,18,14,23
"1127","Female","Black",70,6,45,26,0,0
"1128","Female","Black",75,0,15,9.2,0,0
"1129","Female","Black",75,1,15,15,11,21
"1130","Female","Black",75,2,15,23,15,34
"1131","Female","Black",75,3,15,35,22,48
"1132","Female","Black",75,4,15,48,33,62
"1133","Female","Black",75,5,15,62,48,71
"1134","Female","Black",75,6,15,72,0,0
"1135","Female","Black",75,0,20,7.7,0,0
"1136","Female","Black",75,1,20,12,8.8,16
"1137","Female","Black",75,2,20,19,12,26
"1138","Female","Black",75,3,20,28,18,40
"1139","Female","Black",75,4,20,41,28,55
"1140","Female","Black",75,5,20,56,43,66
"1141","Female","Black",75,6,20,70,0,0
"1142","Female","Black",75,0,25,6.7,0,0
"1143","Female","Black",75,1,25,10,7.5,12
"1144","Female","Black",75,2,25,15,9.7,20
"1145","Female","Black",75,3,25,23,14,33
"1146","Female","Black",75,4,25,34,23,46
"1147","Female","Black",75,5,25,48,37,57
"1148","Female","Black",75,6,25,64,0,0
"1149","Female","Black",75,0,30,5.7,0,0
"1150","Female","Black",75,1,30,8.5,6.3,10
"1151","Female","Black",75,2,30,13,8.1,17
"1152","Female","Black",75,3,30,19,12,27
"1153","Female","Black",75,4,30,28,19,39
"1154","Female","Black",75,5,30,41,32,50
"1155","Female","Black",75,6,30,56,0,0
"1156","Female","Black",75,0,35,4.9,0,0
"1157","Female","Black",75,1,35,7.1,5.3,8.8
"1158","Female","Black",75,2,35,11,6.8,14
"1159","Female","Black",75,3,35,16,9.9,23
"1160","Female","Black",75,4,35,24,16,33
"1161","Female","Black",75,5,35,35,27,43
"1162","Female","Black",75,6,35,49,0,0
"1163","Female","Black",75,0,40,4.1,0,0
"1164","Female","Black",75,1,40,6,4.5,7.5
"1165","Female","Black",75,2,40,8.9,5.7,12
"1166","Female","Black",75,3,40,13,8.3,19
"1167","Female","Black",75,4,40,20,13,28
"1168","Female","Black",75,5,40,29,23,36
"1169","Female","Black",75,6,40,42,0,0
"1170","Female","Black",75,0,45,3.5,0,0
"1171","Female","Black",75,1,45,5.1,3.8,6.4
"1172","Female","Black",75,2,45,7.4,4.8,10
"1173","Female","Black",75,3,45,11,6.9,16
"1174","Female","Black",75,4,45,16,11,24
"1175","Female","Black",75,5,45,24,19,31
"1176","Female","Black",75,6,45,36,0,0
"1177","Female","Black",80,0,15,13,0,0
"1178","Female","Black",80,1,15,20,14,29
"1179","Female","Black",80,2,15,29,20,42
"1180","Female","Black",80,3,15,41,28,55
"1181","Female","Black",80,4,15,53,38,65
"1182","Female","Black",80,5,15,64,51,72
"1183","Female","Black",80,6,15,73,0,0
"1184","Female","Black",80,0,20,11,0,0
"1185","Female","Black",80,1,20,16,12,22
"1186","Female","Black",80,2,20,25,16,34
"1187","Female","Black",80,3,20,36,24,48
"1188","Female","Black",80,4,20,49,35,61
"1189","Female","Black",80,5,20,61,48,70
"1190","Female","Black",80,6,20,72,0,0
"1191","Female","Black",80,0,25,9.4,0,0
"1192","Female","Black",80,1,25,14,10,17
"1193","Female","Black",80,2,25,21,14,28
"1194","Female","Black",80,3,25,30,20,40
"1195","Female","Black",80,4,25,42,31,54
"1196","Female","Black",80,5,25,56,44,65
"1197","Female","Black",80,6,25,69,0,0
"1198","Female","Black",80,0,30,8,0,0
"1199","Female","Black",80,1,30,12,8.7,14
"1200","Female","Black",80,2,30,17,11,23
"1201","Female","Black",80,3,30,25,17,34
"1202","Female","Black",80,4,30,36,26,47
"1203","Female","Black",80,5,30,49,38,58
"1204","Female","Black",80,6,30,63,0,0
"1205","Female","Black",80,0,35,6.7,0,0
"1206","Female","Black",80,1,35,9.8,7.3,12
"1207","Female","Black",80,2,35,14,9.4,19
"1208","Female","Black",80,3,35,21,14,29
"1209","Female","Black",80,4,35,30,21,41
"1210","Female","Black",80,5,35,42,32,51
"1211","Female","Black",80,6,35,56,0,0
"1212","Female","Black",80,0,40,5.7,0,0
"1213","Female","Black",80,1,40,8.2,6.1,9.7
"1214","Female","Black",80,2,40,12,7.8,16
"1215","Female","Black",80,3,40,18,12,24
"1216","Female","Black",80,4,40,25,18,35
"1217","Female","Black",80,5,40,36,27,44
"1218","Female","Black",80,6,40,49,0,0
"1219","Female","Black",80,0,45,4.8,0,0
"1220","Female","Black",80,1,45,6.9,5.1,8.3
"1221","Female","Black",80,2,45,10,6.5,13
"1222","Female","Black",80,3,45,15,9.6,20
"1223","Female","Black",80,4,45,21,15,29
"1224","Female","Black",80,5,45,30,23,37
"1225","Female","Black",80,6,45,42,0,0
"1226","Female","Black",85,0,15,14,0,0
"1227","Female","Black",85,1,15,22,16,32
"1228","Female","Black",85,2,15,32,22,46
"1229","Female","Black",85,3,15,44,30,58
"1230","Female","Black",85,4,15,56,41,68
"1231","Female","Black",85,5,15,67,54,74
"1232","Female","Black",85,6,15,75,0,0
"1233","Female","Black",85,0,20,12,0,0
"1234","Female","Black",85,1,20,19,14,26
"1235","Female","Black",85,2,20,28,18,38
"1236","Female","Black",85,3,20,39,27,52
"1237","Female","Black",85,4,20,52,38,64
"1238","Female","Black",85,5,20,65,51,73
"1239","Female","Black",85,6,20,74,0,0
"1240","Female","Black",85,0,25,11,0,0
"1241","Female","Black",85,1,25,16,12,20
"1242","Female","Black",85,2,25,24,16,32
"1243","Female","Black",85,3,25,34,23,45
"1244","Female","Black",85,4,25,47,34,59
"1245","Female","Black",85,5,25,60,47,69
"1246","Female","Black",85,6,25,72,0,0
"1247","Female","Black",85,0,30,9.1,0,0
"1248","Female","Black",85,1,30,13,9.9,17
"1249","Female","Black",85,2,30,20,13,26
"1250","Female","Black",85,3,30,29,19,38
"1251","Female","Black",85,4,30,40,29,52
"1252","Female","Black",85,5,30,53,41,62
"1253","Female","Black",85,6,30,66,0,0
"1254","Female","Black",85,0,35,7.7,0,0
"1255","Female","Black",85,1,35,11,8.2,14
"1256","Female","Black",85,2,35,16,11,22
"1257","Female","Black",85,3,35,24,16,32
"1258","Female","Black",85,4,35,34,24,45
"1259","Female","Black",85,5,35,46,35,55
"1260","Female","Black",85,6,35,60,0,0
"1261","Female","Black",85,0,40,6.4,0,0
"1262","Female","Black",85,1,40,9.3,6.9,11
"1263","Female","Black",85,2,40,14,8.9,18
"1264","Female","Black",85,3,40,20,13,27
"1265","Female","Black",85,4,40,28,20,38
"1266","Female","Black",85,5,40,40,30,48
"1267","Female","Black",85,6,40,53,0,0
"1268","Female","Black",85,0,45,5.4,0,0
"1269","Female","Black",85,1,45,7.8,5.7,9.2
"1270","Female","Black",85,2,45,11,7.4,15
"1271","Female","Black",85,3,45,16,11,23
"1272","Female","Black",85,4,45,24,16,33
"1273","Female","Black",85,5,45,33,25,41
"1274","Female","Black",85,6,45,45,0,0
"1275","Female","Black",90,0,15,12,0,0
"1276","Female","Black",90,1,15,19,13,28
"1277","Female","Black",90,2,15,28,18,41
"1278","Female","Black",90,3,15,39,26,53
"1279","Female","Black",90,4,15,51,36,63
"1280","Female","Black",90,5,15,63,48,70
"1281","Female","Black",90,6,15,72,0,0
"1282","Female","Black",90,0,20,11,0,0
"1283","Female","Black",90,1,20,16,12,23
"1284","Female","Black",90,2,20,24,16,35
"1285","Female","Black",90,3,20,35,23,47
"1286","Female","Black",90,4,20,47,33,59
"1287","Female","Black",90,5,20,60,45,68
"1288","Female","Black",90,6,20,70,0,0
"1289","Female","Black",90,0,25,9.7,0,0
"1290","Female","Black",90,1,25,14,10,19
"1291","Female","Black",90,2,25,21,14,28
"1292","Female","Black",90,3,25,30,20,41
"1293","Female","Black",90,4,25,42,30,54
"1294","Female","Black",90,5,25,55,42,64
"1295","Female","Black",90,6,25,67,0,0
"1296","Female","Black",90,0,30,8.1,0,0
"1297","Female","Black",90,1,30,12,8.6,15
"1298","Female","Black",90,2,30,17,11,23
"1299","Female","Black",90,3,30,25,17,34
"1300","Female","Black",90,4,30,36,25,47
"1301","Female","Black",90,5,30,48,36,57
"1302","Female","Black",90,6,30,61,0,0
"1303","Female","Black",90,0,35,6.7,0,0
"1304","Female","Black",90,1,35,9.8,7.1,12
"1305","Female","Black",90,2,35,14,9.3,19
"1306","Female","Black",90,3,35,21,14,29
"1307","Female","Black",90,4,35,30,20,40
"1308","Female","Black",90,5,35,41,30,50
"1309","Female","Black",90,6,35,54,0,0
"1310","Female","Black",90,0,40,5.6,0,0
"1311","Female","Black",90,1,40,8.1,5.8,10
"1312","Female","Black",90,2,40,12,7.6,16
"1313","Female","Black",90,3,40,17,11,24
"1314","Female","Black",90,4,40,25,17,34
"1315","Female","Black",90,5,40,35,25,43
"1316","Female","Black",90,6,40,47,0,0
"1317","Female","Black",90,0,45,4.7,0,0
"1318","Female","Black",90,1,45,6.7,4.8,8.2
"1319","Female","Black",90,2,45,9.8,6.3,13
"1320","Female","Black",90,3,45,14,9.1,20
"1321","Female","Black",90,4,45,21,14,29
"1322","Female","Black",90,5,45,29,21,37
"1323","Female","Black",90,6,45,40,0,0
"1324","Male","Black",50,0,15,1.2,0,0
"1325","Male","Black",50,1,15,1.9,1.2,2.7
"1326","Male","Black",50,2,15,2.9,1.5,5.1
"1327","Male","Black",50,3,15,4.4,2.2,7.8
"1328","Male","Black",50,4,15,6.6,3.3,11
"1329","Male","Black",50,5,15,9.7,5.9,13
"1330","Male","Black",50,6,15,14,0,0
"1331","Male","Black",50,0,20,1.2,0,0
"1332","Male","Black",50,1,20,1.9,1.2,2.7
"1333","Male","Black",50,2,20,2.9,1.5,5.2
"1334","Male","Black",50,3,20,4.4,2.1,7.9
"1335","Male","Black",50,4,20,6.5,3.3,11
"1336","Male","Black",50,5,20,9.5,6.1,13
"1337","Male","Black",50,6,20,14,0,0
"1338","Male","Black",50,0,25,1.2,0,0
"1339","Male","Black",50,1,25,1.9,1.3,2.6
"1340","Male","Black",50,2,25,2.9,1.5,5.2
"1341","Male","Black",50,3,25,4.4,2.1,8.1
"1342","Male","Black",50,4,25,6.5,3.3,11
"1343","Male","Black",50,5,25,9.4,6.3,13
"1344","Male","Black",50,6,25,13,0,0
"1345","Male","Black",50,0,30,1.1,0,0
"1346","Male","Black",50,1,30,1.7,1.1,2.3
"1347","Male","Black",50,2,30,2.5,1.3,4.6
"1348","Male","Black",50,3,30,3.8,1.8,7.1
"1349","Male","Black",50,4,30,5.6,2.8,9.5
"1350","Male","Black",50,5,30,8.1,5.5,11
"1351","Male","Black",50,6,30,12,0,0
"1352","Male","Black",50,0,35,1,0,0
"1353","Male","Black",50,1,35,1.5,1,2
"1354","Male","Black",50,2,35,2.2,1.1,4
"1355","Male","Black",50,3,35,3.3,1.6,6.2
"1356","Male","Black",50,4,35,4.9,2.4,8.3
"1357","Male","Black",50,5,35,7,4.7,9.9
"1358","Male","Black",50,6,35,10,0,0
"1359","Male","Black",50,0,40,0.8,0,0
"1360","Male","Black",50,1,40,1.3,0.8,1.7
"1361","Male","Black",50,2,40,1.9,1,3.5
"1362","Male","Black",50,3,40,2.9,1.4,5.4
"1363","Male","Black",50,4,40,4.2,2.1,7.2
"1364","Male","Black",50,5,40,6.1,4.1,8.6
"1365","Male","Black",50,6,40,8.7,0,0
"1366","Male","Black",50,0,45,0.7,0,0
"1367","Male","Black",50,1,45,1.1,0.7,1.5
"1368","Male","Black",50,2,45,1.7,0.9,3.1
"1369","Male","Black",50,3,45,2.5,1.2,4.7
"1370","Male","Black",50,4,45,3.7,1.8,6.3
"1371","Male","Black",50,5,45,5.3,3.6,7.5
"1372","Male","Black",50,6,45,7.6,0,0
"1373","Male","Black",55,0,15,1.6,0,0
"1374","Male","Black",55,1,15,2.5,1.7,3.6
"1375","Male","Black",55,2,15,3.8,2.1,6.7
"1376","Male","Black",55,3,15,5.7,3,9.7
"1377","Male","Black",55,4,15,8.4,4.5,13
"1378","Male","Black",55,5,15,12,7.7,17
"1379","Male","Black",55,6,15,17,0,0
"1380","Male","Black",55,0,20,1.7,0,0
"1381","Male","Black",55,1,20,2.6,1.7,3.6
"1382","Male","Black",55,2,20,3.9,2.1,6.9
"1383","Male","Black",55,3,20,5.8,2.9,10
"1384","Male","Black",55,4,20,8.5,4.5,14
"1385","Male","Black",55,5,20,12,8.1,17
"1386","Male","Black",55,6,20,17,0,0
"1387","Male","Black",55,0,25,1.7,0,0
"1388","Male","Black",55,1,25,2.7,1.8,3.6
"1389","Male","Black",55,2,25,4,2.1,7.1
"1390","Male","Black",55,3,25,5.9,2.9,11
"1391","Male","Black",55,4,25,8.6,4.5,14
"1392","Male","Black",55,5,25,12,8.5,17
"1393","Male","Black",55,6,25,17,0,0
"1394","Male","Black",55,0,30,1.5,0,0
"1395","Male","Black",55,1,30,2.3,1.5,3.1
"1396","Male","Black",55,2,30,3.5,1.8,6.2
"1397","Male","Black",55,3,30,5.2,2.5,9.4
"1398","Male","Black",55,4,30,7.5,3.9,12
"1399","Male","Black",55,5,30,11,7.4,15
"1400","Male","Black",55,6,30,15,0,0
"1401","Male","Black",55,0,35,1.3,0,0
"1402","Male","Black",55,1,35,2,1.3,2.7
"1403","Male","Black",55,2,35,3,1.6,5.4
"1404","Male","Black",55,3,35,4.5,2.2,8.1
"1405","Male","Black",55,4,35,6.5,3.3,11
"1406","Male","Black",55,5,35,9.3,6.4,13
"1407","Male","Black",55,6,35,13,0,0
"1408","Male","Black",55,0,40,1.2,0,0
"1409","Male","Black",55,1,40,1.8,1.2,2.4
"1410","Male","Black",55,2,40,2.6,1.4,4.7
"1411","Male","Black",55,3,40,3.9,1.9,7.1
"1412","Male","Black",55,4,40,5.6,2.8,9.5
"1413","Male","Black",55,5,40,8,5.5,11
"1414","Male","Black",55,6,40,11,0,0
"1415","Male","Black",55,0,45,1,0,0
"1416","Male","Black",55,1,45,1.5,1,2.1
"1417","Male","Black",55,2,45,2.3,1.2,4.1
"1418","Male","Black",55,3,45,3.4,1.6,6.2
"1419","Male","Black",55,4,45,4.9,2.4,8.3
"1420","Male","Black",55,5,45,7,4.8,9.8
"1421","Male","Black",55,6,45,9.8,0,0
"1422","Male","Black",60,0,15,2,0,0
"1423","Male","Black",60,1,15,3.1,2.1,4.3
"1424","Male","Black",60,2,15,4.7,2.6,7.8
"1425","Male","Black",60,3,15,6.9,3.9,11
"1426","Male","Black",60,4,15,10,5.7,16
"1427","Male","Black",60,5,15,14,9.5,20
"1428","Male","Black",60,6,15,20,0,0
"1429","Male","Black",60,0,20,2.1,0,0
"1430","Male","Black",60,1,20,3.1,2.1,4.3
"1431","Male","Black",60,2,20,4.7,2.6,8
"1432","Male","Black",60,3,20,7,3.7,12
"1433","Male","Black",60,4,20,10,5.6,16
"1434","Male","Black",60,5,20,14,9.9,20
"1435","Male","Black",60,6,20,20,0,0
"1436","Male","Black",60,0,25,2.1,0,0
"1437","Male","Black",60,1,25,3.2,2.1,4.3
"1438","Male","Black",60,2,25,4.8,2.6,8.3
"1439","Male","Black",60,3,25,7.1,3.6,12
"1440","Male","Black",60,4,25,10,5.6,17
"1441","Male","Black",60,5,25,15,10,20
"1442","Male","Black",60,6,25,20,0,0
"1443","Male","Black",60,0,30,1.8,0,0
"1444","Male","Black",60,1,30,2.8,1.9,3.7
"1445","Male","Black",60,2,30,4.2,2.2,7.2
"1446","Male","Black",60,3,30,6.1,3.1,11
"1447","Male","Black",60,4,30,8.8,4.7,14
"1448","Male","Black",60,5,30,13,8.8,17
"1449","Male","Black",60,6,30,17,0,0
"1450","Male","Black",60,0,35,1.6,0,0
"1451","Male","Black",60,1,35,2.4,1.6,3.2
"1452","Male","Black",60,2,35,3.6,1.9,6.3
"1453","Male","Black",60,3,35,5.3,2.7,9.4
"1454","Male","Black",60,4,35,7.6,4,13
"1455","Male","Black",60,5,35,11,7.6,15
"1456","Male","Black",60,6,35,15,0,0
"1457","Male","Black",60,0,40,1.4,0,0
"1458","Male","Black",60,1,40,2.1,1.4,2.8
"1459","Male","Black",60,2,40,3.1,1.7,5.5
"1460","Male","Black",60,3,40,4.6,2.3,8.2
"1461","Male","Black",60,4,40,6.6,3.4,11
"1462","Male","Black",60,5,40,9.3,6.5,13
"1463","Male","Black",60,6,40,13,0,0
"1464","Male","Black",60,0,45,1.2,0,0
"1465","Male","Black",60,1,45,1.8,1.2,2.4
"1466","Male","Black",60,2,45,2.7,1.4,4.8
"1467","Male","Black",60,3,45,3.9,2,7.1
"1468","Male","Black",60,4,45,5.7,2.9,9.5
"1469","Male","Black",60,5,45,8,5.6,11
"1470","Male","Black",60,6,45,11,0,0
"1471","Male","Black",65,0,15,2.3,0,0
"1472","Male","Black",65,1,15,3.4,2.3,4.7
"1473","Male","Black",65,2,15,5.1,3.1,8.1
"1474","Male","Black",65,3,15,7.5,4.4,12
"1475","Male","Black",65,4,15,11,6.8,16
"1476","Male","Black",65,5,15,15,11,20
"1477","Male","Black",65,6,15,21,0,0
"1478","Male","Black",65,0,20,2.3,0,0
"1479","Male","Black",65,1,20,3.4,2.3,4.6
"1480","Male","Black",65,2,20,5.1,3,8.4
"1481","Male","Black",65,3,20,7.5,4.4,12
"1482","Male","Black",65,4,20,11,6.5,17
"1483","Male","Black",65,5,20,15,11,21
"1484","Male","Black",65,6,20,21,0,0
"1485","Male","Black",65,0,25,2.3,0,0
"1486","Male","Black",65,1,25,3.5,2.4,4.6
"1487","Male","Black",65,2,25,5.2,2.9,8.7
"1488","Male","Black",65,3,25,7.6,4.1,13
"1489","Male","Black",65,4,25,11,6.3,17
"1490","Male","Black",65,5,25,15,11,21
"1491","Male","Black",65,6,25,21,0,0
"1492","Male","Black",65,0,30,2,0,0
"1493","Male","Black",65,1,30,3,2,3.9
"1494","Male","Black",65,2,30,4.4,2.5,7.5
"1495","Male","Black",65,3,30,6.5,3.5,11
"1496","Male","Black",65,4,30,9.3,5.3,15
"1497","Male","Black",65,5,30,13,9.4,18
"1498","Male","Black",65,6,30,18,0,0
"1499","Male","Black",65,0,35,1.7,0,0
"1500","Male","Black",65,1,35,2.6,1.7,3.4
"1501","Male","Black",65,2,35,3.8,2.1,6.5
"1502","Male","Black",65,3,35,5.5,3,9.5
"1503","Male","Black",65,4,35,7.9,4.4,13
"1504","Male","Black",65,5,35,11,8,15
"1505","Male","Black",65,6,35,15,0,0
"1506","Male","Black",65,0,40,1.5,0,0
"1507","Male","Black",65,1,40,2.2,1.5,2.9
"1508","Male","Black",65,2,40,3.3,1.8,5.6
"1509","Male","Black",65,3,40,4.7,2.5,8.2
"1510","Male","Black",65,4,40,6.8,3.7,11
"1511","Male","Black",65,5,40,9.6,6.8,13
"1512","Male","Black",65,6,40,13,0,0
"1513","Male","Black",65,0,45,1.3,0,0
"1514","Male","Black",65,1,45,1.9,1.3,2.5
"1515","Male","Black",65,2,45,2.8,1.5,4.9
"1516","Male","Black",65,3,45,4.1,2.1,7.1
"1517","Male","Black",65,4,45,5.8,3.1,9.5
"1518","Male","Black",65,5,45,8.2,5.8,11
"1519","Male","Black",65,6,45,11,0,0
"1520","Male","Black",70,0,15,2.7,0,0
"1521","Male","Black",70,1,15,4.1,2.9,5.4
"1522","Male","Black",70,2,15,6.2,3.9,9.4
"1523","Male","Black",70,3,15,9.3,5.5,14
"1524","Male","Black",70,4,15,14,8.6,20
"1525","Male","Black",70,5,15,20,15,26
"1526","Male","Black",70,6,15,27,0,0
"1527","Male","Black",70,0,20,2.7,0,0
"1528","Male","Black",70,1,20,3.9,2.8,5.2
"1529","Male","Black",70,2,20,5.9,3.7,8.7
"1530","Male","Black",70,3,20,8.7,5.4,13
"1531","Male","Black",70,4,20,13,8.2,19
"1532","Male","Black",70,5,20,18,14,24
"1533","Male","Black",70,6,20,26,0,0
"1534","Male","Black",70,0,25,2.6,0,0
"1535","Male","Black",70,1,25,3.8,2.7,5.1
"1536","Male","Black",70,2,25,5.6,3.5,8.1
"1537","Male","Black",70,3,25,8.1,5.1,12
"1538","Male","Black",70,4,25,12,7.7,18
"1539","Male","Black",70,5,25,17,13,22
"1540","Male","Black",70,6,25,24,0,0
"1541","Male","Black",70,0,30,2.2,0,0
"1542","Male","Black",70,1,30,3.2,2.3,4.3
"1543","Male","Black",70,2,30,4.7,2.9,6.9
"1544","Male","Black",70,3,30,6.8,4.2,10
"1545","Male","Black",70,4,30,9.8,6.3,15
"1546","Male","Black",70,5,30,14,11,19
"1547","Male","Black",70,6,30,20,0,0
"1548","Male","Black",70,0,35,1.9,0,0
"1549","Male","Black",70,1,35,2.7,1.9,3.6
"1550","Male","Black",70,2,35,3.9,2.4,5.8
"1551","Male","Black",70,3,35,5.7,3.5,8.7
"1552","Male","Black",70,4,35,8.2,5.2,12
"1553","Male","Black",70,5,35,12,8.9,16
"1554","Male","Black",70,6,35,17,0,0
"1555","Male","Black",70,0,40,1.6,0,0
"1556","Male","Black",70,1,40,2.3,1.6,3.1
"1557","Male","Black",70,2,40,3.3,2,4.9
"1558","Male","Black",70,3,40,4.8,2.9,7.3
"1559","Male","Black",70,4,40,6.8,4.3,10
"1560","Male","Black",70,5,40,9.7,7.3,13
"1561","Male","Black",70,6,40,14,0,0
"1562","Male","Black",70,0,45,1.4,0,0
"1563","Male","Black",70,1,45,2,1.4,2.6
"1564","Male","Black",70,2,45,2.8,1.7,4.2
"1565","Male","Black",70,3,45,4,2.4,6.1
"1566","Male","Black",70,4,45,5.7,3.6,8.7
"1567","Male","Black",70,5,45,8,6,11
"1568","Male","Black",70,6,45,11,0,0
"1569","Male","Black",75,0,15,3.5,0,0
"1570","Male","Black",75,1,15,5.7,3.8,8.7
"1571","Male","Black",75,2,15,9.1,5.2,15
"1572","Male","Black",75,3,15,14,7.3,23
"1573","Male","Black",75,4,15,21,12,31
"1574","Male","Black",75,5,15,30,19,38
"1575","Male","Black",75,6,15,40,0,0
"1576","Male","Black",75,0,20,3.3,0,0
"1577","Male","Black",75,1,20,5.2,3.6,7.2
"1578","Male","Black",75,2,20,8.1,4.9,13
"1579","Male","Black",75,3,20,13,7,20
"1580","Male","Black",75,4,20,19,11,28
"1581","Male","Black",75,5,20,28,18,36
"1582","Male","Black",75,6,20,38,0,0
"1583","Male","Black",75,0,25,3.2,0,0
"1584","Male","Black",75,1,25,4.7,3.4,5.9
"1585","Male","Black",75,2,25,7.2,4.4,10
"1586","Male","Black",75,3,25,11,6.6,16
"1587","Male","Black",75,4,25,17,10,24
"1588","Male","Black",75,5,25,25,17,32
"1589","Male","Black",75,6,25,35,0,0
"1590","Male","Black",75,0,30,2.6,0,0
"1591","Male","Black",75,1,30,3.9,2.8,4.8
"1592","Male","Black",75,2,30,5.9,3.6,8.5
"1593","Male","Black",75,3,30,8.9,5.4,13
"1594","Male","Black",75,4,30,14,8.1,20
"1595","Male","Black",75,5,30,20,14,26
"1596","Male","Black",75,6,30,29,0,0
"1597","Male","Black",75,0,35,2.2,0,0
"1598","Male","Black",75,1,35,3.2,2.3,4
"1599","Male","Black",75,2,35,4.8,3,6.9
"1600","Male","Black",75,3,35,7.2,4.3,11
"1601","Male","Black",75,4,35,11,6.6,16
"1602","Male","Black",75,5,35,16,12,22
"1603","Male","Black",75,6,35,24,0,0
"1604","Male","Black",75,0,40,1.9,0,0
"1605","Male","Black",75,1,40,2.7,1.9,3.4
"1606","Male","Black",75,2,40,3.9,2.4,5.6
"1607","Male","Black",75,3,40,5.9,3.5,8.6
"1608","Male","Black",75,4,40,8.8,5.3,13
"1609","Male","Black",75,5,40,13,9.4,18
"1610","Male","Black",75,6,40,20,0,0
"1611","Male","Black",75,0,45,1.6,0,0
"1612","Male","Black",75,1,45,2.2,1.6,2.8
"1613","Male","Black",75,2,45,3.2,2,4.6
"1614","Male","Black",75,3,45,4.8,2.9,7
"1615","Male","Black",75,4,45,7.1,4.3,11
"1616","Male","Black",75,5,45,11,7.6,14
"1617","Male","Black",75,6,45,16,0,0
"1618","Male","Black",80,0,15,5,0,0
"1619","Male","Black",80,1,15,8,5.4,13
"1620","Male","Black",80,2,15,12,7.4,20
"1621","Male","Black",80,3,15,19,10,29
"1622","Male","Black",80,4,15,27,16,37
"1623","Male","Black",80,5,15,37,24,45
"1624","Male","Black",80,6,15,47,0,0
"1625","Male","Black",80,0,20,4.6,0,0
"1626","Male","Black",80,1,20,7.2,5,11
"1627","Male","Black",80,2,20,11,6.9,17
"1628","Male","Black",80,3,20,17,9.8,25
"1629","Male","Black",80,4,20,25,15,34
"1630","Male","Black",80,5,20,34,22,43
"1631","Male","Black",80,6,20,45,0,0
"1632","Male","Black",80,0,25,4.3,0,0
"1633","Male","Black",80,1,25,6.5,4.6,8.8
"1634","Male","Black",80,2,25,9.9,6.2,14
"1635","Male","Black",80,3,25,15,9.1,21
"1636","Male","Black",80,4,25,22,14,30
"1637","Male","Black",80,5,25,31,21,39
"1638","Male","Black",80,6,25,42,0,0
"1639","Male","Black",80,0,30,3.5,0,0
"1640","Male","Black",80,1,30,5.3,3.8,7
"1641","Male","Black",80,2,30,8,5,11
"1642","Male","Black",80,3,30,12,7.3,17
"1643","Male","Black",80,4,30,18,11,25
"1644","Male","Black",80,5,30,26,17,33
"1645","Male","Black",80,6,30,36,0,0
"1646","Male","Black",80,0,35,2.9,0,0
"1647","Male","Black",80,1,35,4.3,3.1,5.6
"1648","Male","Black",80,2,35,6.5,4.1,9
"1649","Male","Black",80,3,35,9.7,5.9,14
"1650","Male","Black",80,4,35,14,9,21
"1651","Male","Black",80,5,35,21,14,27
"1652","Male","Black",80,6,35,30,0,0
"1653","Male","Black",80,0,40,2.4,0,0
"1654","Male","Black",80,1,40,3.5,2.5,4.5
"1655","Male","Black",80,2,40,5.2,3.3,7.3
"1656","Male","Black",80,3,40,7.8,4.7,11
"1657","Male","Black",80,4,40,12,7.2,17
"1658","Male","Black",80,5,40,17,11,22
"1659","Male","Black",80,6,40,24,0,0
"1660","Male","Black",80,0,45,2,0,0
"1661","Male","Black",80,1,45,2.9,2,3.6
"1662","Male","Black",80,2,45,4.3,2.7,5.9
"1663","Male","Black",80,3,45,6.3,3.8,9.1
"1664","Male","Black",80,4,45,9.3,5.7,13
"1665","Male","Black",80,5,45,14,9.3,18
"1666","Male","Black",80,6,45,20,0,0
"1667","Male","Black",85,0,15,6.3,0,0
"1668","Male","Black",85,1,15,10,7,17
"1669","Male","Black",85,2,15,16,9.9,26
"1670","Male","Black",85,3,15,24,14,36
"1671","Male","Black",85,4,15,34,20,45
"1672","Male","Black",85,5,15,45,30,54
"1673","Male","Black",85,6,15,56,0,0
"1674","Male","Black",85,0,20,5.6,0,0
"1675","Male","Black",85,1,20,9,6.2,14
"1676","Male","Black",85,2,20,14,8.7,22
"1677","Male","Black",85,3,20,21,13,31
"1678","Male","Black",85,4,20,31,19,41
"1679","Male","Black",85,5,20,42,28,51
"1680","Male","Black",85,6,20,53,0,0
"1681","Male","Black",85,0,25,5.1,0,0
"1682","Male","Black",85,1,25,7.8,5.5,11
"1683","Male","Black",85,2,25,12,7.5,17
"1684","Male","Black",85,3,25,18,11,26
"1685","Male","Black",85,4,25,27,17,37
"1686","Male","Black",85,5,25,38,26,46
"1687","Male","Black",85,6,25,50,0,0
"1688","Male","Black",85,0,30,4.1,0,0
"1689","Male","Black",85,1,30,6.3,4.5,8.7
"1690","Male","Black",85,2,30,9.7,6.1,14
"1691","Male","Black",85,3,30,15,9,21
"1692","Male","Black",85,4,30,22,14,30
"1693","Male","Black",85,5,30,32,21,39
"1694","Male","Black",85,6,30,43,0,0
"1695","Male","Black",85,0,35,3.4,0,0
"1696","Male","Black",85,1,35,5.1,3.6,6.9
"1697","Male","Black",85,2,35,7.8,4.9,11
