#10 year fracture risk for caucasian women in the USA

Age,CRF,BMI,10yr fracture risk %
75,3,35, 33 (21-45)
75,4,35, 45 (33-59)
75,5,35, 60 (51-70)
75,6,35,74
75,0,40,9.3
75,1,40, 13 (10-16)
75,2,40, 19 (13-25)
75,3,40, 28 (18-39)
75,4,40, 39 (28-52)
75,5,40, 53 (44-63)
75,6,40,68
75,0,45,8
75,1,45, 11 (8.6-14)
75,2,45, 16 (11-22)
75,3,45, 24 (15-33)
75,4,45, 34 (24-46)
75,5,45, 47 (39-56)
75,6,45,61
80,0,15,26
80,1,15, 38 (29-51)
80,2,15, 51 (38-65)
80,3,15, 63 (49-75)
80,4,15, 72 (60-81)
80,5,15, 79 (71-84)
80,6,15,83
80,0,20,23
80,1,20, 33 (25-43)
80,2,20, 46 (33-58)
80,3,20, 59 (45-71)
80,4,20, 70 (59-79)
80,5,20, 79 (70-84)
80,6,20,84
80,0,25,20
80,1,25, 29 (22-34)
80,2,25, 40 (28-51)
80,3,25, 53 (39-65)
80,4,25, 67 (54-77)
80,5,25, 77 (68-83)
80,6,25,84
80,0,30,17
80,1,30, 25 (19-29)
80,2,30, 34 (24-44)
80,3,30, 47 (34-59)
80,4,30, 60 (48-72)
80,5,30, 72 (62-79)
80,6,30,81
80,0,35,15
80,1,35, 21 (16-24)
80,2,35, 29 (20-37)
80,3,35, 41 (29-52)
80,4,35, 53 (41-66)
80,5,35, 66 (56-74)
80,6,35,77
80,0,40,13
80,1,40, 18 (13-21)
80,2,40, 25 (17-32)
80,3,40, 35 (24-45)
80,4,40, 47 (35-59)
80,5,40, 60 (50-69)
80,6,40,72
80,0,45,11
80,1,45, 15 (11-18)
80,2,45, 21 (14-27)
80,3,45, 30 (20-39)
80,4,45, 41 (30-52)
80,5,45, 53 (44-62)
80,6,45,66
85,0,15,28
85,1,15, 40 (31-54)
85,2,15, 53 (40-67)
85,3,15, 64 (50-76)
85,4,15, 73 (62-81)
85,5,15, 79 (72-82)
85,6,15,81
85,0,20,25
85,1,20, 36 (28-47)
85,2,20, 48 (35-62)
85,3,20, 61 (47-73)
85,4,20, 72 (60-80)
85,5,20, 79 (71-84)
85,6,20,83
85,0,25,23
85,1,25, 32 (25-39)
85,2,25, 44 (31-54)
85,3,25, 57 (43-68)
85,4,25, 69 (57-79)
85,5,25, 78 (70-84)
85,6,25,84
85,0,30,19
85,1,30, 27 (21-33)
85,2,30, 38 (26-47)
85,3,30, 50 (37-62)
85,4,30, 63 (50-74)
85,5,30, 74 (64-80)
85,6,30,81
85,0,35,16
85,1,35, 23 (17-28)
85,2,35, 32 (22-41)
85,3,35, 44 (31-55)
85,4,35, 56 (43-68)
85,5,35, 68 (58-76)
85,6,35,77
85,0,40,14
85,1,40, 20 (15-23)
85,2,40, 27 (19-35)
85,3,40, 38 (27-48)
85,4,40, 50 (37-62)
85,5,40, 62 (51-71)
85,6,40,73
85,0,45,12
85,1,45, 17 (12-19)
85,2,45, 23 (16-30)
85,3,45, 32 (22-42)
85,4,45, 43 (32-55)
85,5,45, 56 (45-64)
85,6,45,67
90,0,15,23
90,1,15, 34 (25-47)
90,2,15, 46 (33-61)
90,3,15, 58 (43-71)
90,4,15, 68 (54-77)
90,5,15, 74 (66-78)
90,6,15,76
90,0,20,21
90,1,20, 31 (23-41)
90,2,20, 42 (30-56)
90,3,20, 54 (40-68)
90,4,20, 66 (52-75)
90,5,20, 74 (64-80)
90,6,20,79
90,0,25,20
90,1,25, 28 (21-35)
90,2,25, 38 (27-49)
90,3,25, 51 (37-63)
90,4,25, 63 (50-73)
90,5,25, 73 (62-79)
90,6,25,80
90,0,30,17
90,1,30, 24 (18-30)
90,2,30, 33 (23-42)
90,3,30, 44 (31-56)
90,4,30, 56 (43-68)
90,5,30, 68 (56-75)
90,6,30,76
90,0,35,14
90,1,35, 20 (15-25)
90,2,35, 28 (19-36)
90,3,35, 38 (26-49)
90,4,35, 50 (37-61)
90,5,35, 62 (50-70)
90,6,35,72
90,0,40,12
90,1,40, 17 (12-20)
90,2,40, 23 (16-31)
90,3,40, 32 (22-43)
90,4,40, 43 (31-55)
90,5,40, 55 (44-64)
90,6,40,66
90,0,45,9.9
90,1,45, 14 (10-17)
90,2,45, 20 (13-26)
90,3,45, 27 (18-36)
90,4,45, 37 (26-48)
90,5,45, 48 (38-58)
90,6,45,60
